"","msa_id","fipsstatecode","year","state_abb","ever_smoke","current_smoker","stop_smoking","N","metrodivisioncode","csacode","cbsatitle","metropolitanmicropolitanstatis","metropolitandivisiontitle","csatitle","countycountyequivalent","statename","fipscountycode","centraloutlyingcounty","abb","year_change_per","tax_change_dose","numtaxinc","tax_change0203","year_around","treat","tax_change","X.x","pop1990","pop2000","unemp1990","unemp2000","unemp2010","cig_sales_pc2000","anti1992","anti1995","anti1998","cig_sales_pc1990","cig_sales_pc2010","log_cigsales90","log_cigsales00","log_cigsales10","log_pop90","log_pop00","change90to00","change00to10","log_change_sales","log_change_sales00to10","per_barban00","per_barban05","per_barban10","msa_pop10","msa_pop00","log_msapop00","log_msapop10","cigtax","cbsaunp00","wage_index","X","factor98","current_smoker98","ever_smoke98","factor01","current_smoker01","ever_smoke01","change_cursmk","change_evrsmk","pcurrent_smoker98","pcurrent_smoker01","pfactor98","pfactor01"
"676",45104,53,2004,"WA",0.44755804643715,21.6172938350681,0.651851851851852,1249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WA",2005,0.7975,2,1,-1,1,0,48,4866669,5894121,5.2,5.2,10,52.8,0.1072,0.1654,0.2516,83.4,25.6,4.4236483093647,3.96651119071222,3.24259235148552,15.3979202774624,15.5894659714209,30.6,27.2,3.42100000895834,3.30321697330195,0,0,0,795225,700820,13.4600063570099,13.5863803724621,1.43,5.57377049180328,1.1074,174,0.0133903880422618,0.223140495867769,0.479338842975207,0.22126976426343,0.192592592592593,0.488888888888889,0.030547903275176,-0.00955004591368225,0.191117567248533,0.159173496383114,0.108575661074459,0.279149253275719
"677",45104,53,2009,"WA",0.452724358974359,17.7884615384615,0.567567567567568,1248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WA",2005,0.7975,2,1,4,1,1,48,4866669,5894121,5.2,5.2,10,52.8,0.1072,0.1654,0.2516,83.4,25.6,4.4236483093647,3.96651119071222,3.24259235148552,15.3979202774624,15.5894659714209,30.6,27.2,3.42100000895834,3.30321697330195,50.4922591869281,47.7601086590701,47.7288862129548,795225,700820,13.4600063570099,13.5863803724621,2.03,5.57377049180328,1.1074,174,0.0133903880422618,0.223140495867769,0.479338842975207,0.22126976426343,0.192592592592593,0.488888888888889,0.030547903275176,-0.00955004591368225,0.191117567248533,0.159173496383114,0.108575661074459,0.279149253275719
"678",45104,53,2006,"WA",0.469572368421053,20.8881578947368,0.574803149606299,1216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WA",2005,0.7975,2,1,1,1,1,48,4866669,5894121,5.2,5.2,10,52.8,0.1072,0.1654,0.2516,83.4,25.6,4.4236483093647,3.96651119071222,3.24259235148552,15.3979202774624,15.5894659714209,30.6,27.2,3.42100000895834,3.30321697330195,7.36224990816543,6.96387646841996,6.82600319356095,795225,700820,13.4600063570099,13.5863803724621,2.03,5.57377049180328,1.1074,174,0.0133903880422618,0.223140495867769,0.479338842975207,0.22126976426343,0.192592592592593,0.488888888888889,0.030547903275176,-0.00955004591368225,0.191117567248533,0.159173496383114,0.108575661074459,0.279149253275719
"679",45104,53,2005,"WA",0.485349361382419,21.6378662659654,0.527777777777778,1331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WA",2005,0.7975,2,1,0,1,1,48,4866669,5894121,5.2,5.2,10,52.8,0.1072,0.1654,0.2516,83.4,25.6,4.4236483093647,3.96651119071222,3.24259235148552,15.3979202774624,15.5894659714209,30.6,27.2,3.42100000895834,3.30321697330195,0.377457148377134,0.357032834555792,0.378382425501034,795225,700820,13.4600063570099,13.5863803724621,1.43,5.57377049180328,1.1074,174,0.0133903880422618,0.223140495867769,0.479338842975207,0.22126976426343,0.192592592592593,0.488888888888889,0.030547903275176,-0.00955004591368225,0.191117567248533,0.159173496383114,0.108575661074459,0.279149253275719
"680",45300,12,2004,"FL",0.461100569259962,25.9962049335863,0.532846715328467,527,NA,NA,"Tampa-St. Petersburg-Clearwater, FL","Metropolitan Statistical Area","","","Hernando County","Florida",53,"Outlying","FL",2009,1,1,0,-5,1,0,10,12938071,15982378,6.1,3.7,11.1,82.5,-0.073,0.0712,0.164,110.1,50,4.70138904372863,4.41279829334063,3.91202300542815,16.3756847632816,16.5869972982449,27.6,32.5,3.3178157727231,3.48124008933569,0,0,0,2783243,2395997,14.6893099861299,14.8391273525424,0.339,3.2089552238806,0.9074,176,-0.180730172143907,0.220588235294118,0.519607843137255,0.0295805560877716,0.194274028629857,0.45398773006135,0.0263142066642608,0.0656201130759053,0.212657444994773,0.192012904409776,-0.126142328366931,0.076507977235115
"681",45300,12,2006,"FL",0.499337748344371,26.0927152317881,0.609137055837564,755,NA,NA,"Tampa-St. Petersburg-Clearwater, FL","Metropolitan Statistical Area","","","Hernando County","Florida",53,"Outlying","FL",2009,1,1,0,-3,1,0,10,12938071,15982378,6.1,3.7,11.1,82.5,-0.073,0.0712,0.164,110.1,50,4.70138904372863,4.41279829334063,3.91202300542815,16.3756847632816,16.5869972982449,27.6,32.5,3.3178157727231,3.48124008933569,0,0,0,2783243,2395997,14.6893099861299,14.8391273525424,0.339,3.2089552238806,0.9074,176,-0.180730172143907,0.220588235294118,0.519607843137255,0.0295805560877716,0.194274028629857,0.45398773006135,0.0263142066642608,0.0656201130759053,0.212657444994773,0.192012904409776,-0.126142328366931,0.076507977235115
"682",45300,12,2007,"FL",0.505805515239477,28.0841799709724,0.472868217054264,1378,NA,NA,"Tampa-St. Petersburg-Clearwater, FL","Metropolitan Statistical Area","","","Hernando County","Florida",53,"Outlying","FL",2009,1,1,0,-2,1,0,10,12938071,15982378,6.1,3.7,11.1,82.5,-0.073,0.0712,0.164,110.1,50,4.70138904372863,4.41279829334063,3.91202300542815,16.3756847632816,16.5869972982449,27.6,32.5,3.3178157727231,3.48124008933569,0,0,0,2783243,2395997,14.6893099861299,14.8391273525424,0.339,3.2089552238806,0.9074,176,-0.180730172143907,0.220588235294118,0.519607843137255,0.0295805560877716,0.194274028629857,0.45398773006135,0.0263142066642608,0.0656201130759053,0.212657444994773,0.192012904409776,-0.126142328366931,0.076507977235115
"683",45300,12,2009,"FL",0.526970954356846,24.6887966804979,0.605042016806723,482,NA,NA,"Tampa-St. Petersburg-Clearwater, FL","Metropolitan Statistical Area","","","Hernando County","Florida",53,"Outlying","FL",2009,1,1,0,0,1,1,10,12938071,15982378,6.1,3.7,11.1,82.5,-0.073,0.0712,0.164,110.1,50,4.70138904372863,4.41279829334063,3.91202300542815,16.3756847632816,16.5869972982449,27.6,32.5,3.3178157727231,3.48124008933569,0,0,0,2783243,2395997,14.6893099861299,14.8391273525424,0.339,3.2089552238806,0.9074,176,-0.180730172143907,0.220588235294118,0.519607843137255,0.0295805560877716,0.194274028629857,0.45398773006135,0.0263142066642608,0.0656201130759053,0.212657444994773,0.192012904409776,-0.126142328366931,0.076507977235115
"684",45300,12,2005,"FL",0.484429065743945,26.1245674740484,0.496688741721854,578,NA,NA,"Tampa-St. Petersburg-Clearwater, FL","Metropolitan Statistical Area","","","Hernando County","Florida",53,"Outlying","FL",2009,1,1,0,-4,1,0,10,12938071,15982378,6.1,3.7,11.1,82.5,-0.073,0.0712,0.164,110.1,50,4.70138904372863,4.41279829334063,3.91202300542815,16.3756847632816,16.5869972982449,27.6,32.5,3.3178157727231,3.48124008933569,0,0,0,2783243,2395997,14.6893099861299,14.8391273525424,0.339,3.2089552238806,0.9074,176,-0.180730172143907,0.220588235294118,0.519607843137255,0.0295805560877716,0.194274028629857,0.45398773006135,0.0263142066642608,0.0656201130759053,0.212657444994773,0.192012904409776,-0.126142328366931,0.076507977235115
"685",45300,12,2008,"FL",0.488659793814433,22.4742268041237,0.568807339449541,485,NA,NA,"Tampa-St. Petersburg-Clearwater, FL","Metropolitan Statistical Area","","","Hernando County","Florida",53,"Outlying","FL",2009,1,1,0,-1,1,0,10,12938071,15982378,6.1,3.7,11.1,82.5,-0.073,0.0712,0.164,110.1,50,4.70138904372863,4.41279829334063,3.91202300542815,16.3756847632816,16.5869972982449,27.6,32.5,3.3178157727231,3.48124008933569,0,0,0,2783243,2395997,14.6893099861299,14.8391273525424,0.339,3.2089552238806,0.9074,176,-0.180730172143907,0.220588235294118,0.519607843137255,0.0295805560877716,0.194274028629857,0.45398773006135,0.0263142066642608,0.0656201130759053,0.212657444994773,0.192012904409776,-0.126142328366931,0.076507977235115
"686",45300,12,2010,"FL",0.53045013239188,22.7714033539276,0.647286821705426,1133,NA,NA,"Tampa-St. Petersburg-Clearwater, FL","Metropolitan Statistical Area","","","Hernando County","Florida",53,"Outlying","FL",2009,1,1,0,1,1,1,10,12938071,15982378,6.1,3.7,11.1,82.5,-0.073,0.0712,0.164,110.1,50,4.70138904372863,4.41279829334063,3.91202300542815,16.3756847632816,16.5869972982449,27.6,32.5,3.3178157727231,3.48124008933569,0,0,0,2783243,2395997,14.6893099861299,14.8391273525424,1.339,3.2089552238806,0.9074,176,-0.180730172143907,0.220588235294118,0.519607843137255,0.0295805560877716,0.194274028629857,0.45398773006135,0.0263142066642608,0.0656201130759053,0.212657444994773,0.192012904409776,-0.126142328366931,0.076507977235115
